"word","group","F1_previous","dur_previous","F1_last","dur_last","speaker","rel_dur_prcnt","rel_F1_prcnt"
"tongada","1","730","0.074811889","725","0.073473659","IrMikh","101.821373834125","100.689655172414"
"tongada","1","695","0.071885441","710","0.072655693","IrMikh","98.9398600877704","97.887323943662"
"??bada","1","725","0.104539663","740","0.087423131","IrMikh","119.578951021555","97.972972972973"
"??bada","1","800","0.124977556","780","0.137434019","IrMikh","90.9364049085984","102.564102564103"
"??bada","1","660","0.099663432","730","0.106158757","IrMikh","93.8814986313376","90.4109589041096"
"x?da=da","2","730","0.128622162","730","0.094346113","IrMikh","136.330112508186","100"
"x?da=da","2","770","0.153775591","735","0.092578137","IrMikh","166.103570435858","104.761904761905"
"x?da=da","2","800","0.143027531","745","0.093336248","IrMikh","153.238997779298","107.38255033557"
"x?da=da","2","730","0.094579221","785","0.145873511","IrMikh","64.8364602672791","92.9936305732484"
"x?da=da","2","800","0.151382799","715","0.073410075","IrMikh","206.215289931253","111.888111888112"
"x?da=da","2","750","0.119057394","665","0.067582937","IrMikh","176.164871319517","112.781954887218"
"toda=da","2","750","0.133799018","725","0.079256263","IrMikh","168.818227021377","103.448275862069"
"toda=da","2","740","0.123098429","710","0.078391338","IrMikh","157.03065177941","104.225352112676"
"toda=da","2","730","0.104168683","600","0.072470857","IrMikh","143.738721069629","121.666666666667"
"?osta=da","2","770","0.08478801","720","0.094795112","IrMikh","89.4434409234096","106.944444444444"
"?osta=da","2","730","0.077206583","670","0.068194048","IrMikh","113.216014101407","108.955223880597"
"?osta=da","2","720","0.082218223","740","0.053179184","IrMikh","154.606025921722","97.2972972972973"
"taga=da","2","760","0.104685987","665","0.066670284","IrMikh","157.020460569809","114.285714285714"
"taga=da","2","770","0.112854405","750","0.05821553","IrMikh","193.85618408009","102.666666666667"
"taga=da","2","750","0.102802393","645","0.068336228","IrMikh","150.436153719225","116.279069767442"
"taga=da","2","775","0.104998937","745","0.07307696","IrMikh","143.682683297171","104.026845637584"
"taga=da","2","735","0.14918144","630","0.079218411","IrMikh","188.316627557702","116.666666666667"
"taga=da","2","765","0.131381544","745","0.084236764","IrMikh","155.966988475483","102.684563758389"
"jada=da","2","720","0.079634105","600","0.062724625","IrMikh","126.958279941889","120"
"jada=da","2","765","0.084881952","655","0.071145744","IrMikh","119.307139440414","116.793893129771"
"jada=da","2","780","0.09379965","680","0.064513992","IrMikh","145.394273539917","114.705882352941"
"x?da=da","2","740","0.098527701","685","0.062207819","IrMikh","158.384753852245","108.029197080292"
"x?da=da","2","760","0.121961184","695","0.07648088","IrMikh","159.466240451208","109.352517985612"
"x?da=da","2","790","0.139824145","695","0.077893402","IrMikh","179.507046052501","113.669064748201"
"x?da=da","2","770","0.117759418","730","0.078012741","IrMikh","150.948955889141","105.479452054795"
"x?da=da","2","800","0.122603808","730","0.064121139","IrMikh","191.206534868322","109.58904109589"
"x?da=da","2","780","0.108886264","710","0.082705891","IrMikh","131.654786235239","109.859154929577"
"x?da=da","3","750","0.135281242","740","0.074725408","IrMikh","181.037809790212","101.351351351351"
"x?da=da","3","750","0.148051895","710","0.064735029","IrMikh","228.704454585167","105.633802816901"
"x?da=da","3","800","0.137229372","680","0.07252476","IrMikh","189.217271453225","117.647058823529"
"x?da=da","3","815","0.128025767","710","0.07215719","IrMikh","177.426209363197","114.788732394366"
"x?da=da","3","750","0.108944206","700","0.06958727","IrMikh","156.557666366276","107.142857142857"
